rank,percentile,smi,score
96,99.525,CCN(CC)c1ccc(NC(=O)COc2ccc([N+](=O)[O-])cc2)c(C)c1,0.2927
97,99.520,Oc1ccc(Oc2ccccc2)cc1,0.2926
98,99.515,Cc1cc(O)ccc1Nc1nc(-c2ccc(Cl)cc2)cs1,0.2921
99,99.510,CNC(=O)C1CN(c2ccc(C#N)c(C(F)(F)F)c2)CCN1S(=O)(=O)c1ccc(F)c(C)c1,0.2916
100,99.505,CCCO[C@H]1CCCN(S(=O)(=O)c2cc(Cl)ccc2OC)C1,0.2912
101,99.500,CCSCCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(O)c(OC)c1,0.2911
102,99.495,Cc1noc2nc(CCC(=O)NCc3ccc(F)cc3Cl)nc(N3CC(C)CC(C)C3)c12,0.2901
103,99.490,COc1ccc(C(=O)N2CCCn3nc(-c4cccs4)cc3C2)cn1,0.2900
104,99.485,COc1ccc(C(=O)Oc2ccc(C(=S)N3CCC(C)CC3)cc2OC)cc1,0.2891
105,99.480,CCn1c(-c2cnn(C(C)(C)C)c2)nc2cc(S(=O)(=O)N(C)C)ccc21,0.2883
106,99.475,Cc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)N3CCOCC3)cc2)cc1,0.2883
107,99.470,COc1ccc(C2CC(C(F)(F)F)n3ncc(C(=O)Nc4ccc5c(c4)CCC5)c3N2)cc1OC,0.2882
108,99.465,COc1cc(N2CCC3(CCc4c3nc(C3CC3)[nH]c4=O)CC2)nc(OC)n1,0.2875
109,99.460,COc1ncccc1C(=O)N1CCC[C@@]2(CCc3c2nc(C(C)(C)C)[nH]c3=O)C1,0.2860
110,99.455,CCOc1ccccc1Nc1nc2ccccc2c2nnc(CC)n12,0.2839
111,99.450,C#CCOc1ccc(/C=C2\NC(=S)N(c3ccc(OCC)cc3)C2=O)cc1OC,0.2830
112,99.445,Cc1noc(C)c1C1CCCN1S(=O)(=O)c1cc(F)ccc1F,0.2829
113,99.440,CCOC(=O)CCN(Cc1cc(OC)ccc1OC)S(=O)(=O)c1cccc(C(F)(F)F)c1,0.2818
114,99.435,COc1cc2c(c(OC)c1)[C@H](c1ccc(OCCN(C)C)cc1)CC(=O)N2,0.2799
115,99.430,CC1CCc2c(oc3ccc(NS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc23)C1,0.2793
116,99.425,Cc1cnn(CCCN2CCC[C@H]2c2nc3ccccc3n2C)c1,0.2791
117,99.420,O=C(C1CCCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)C1)N1CCC(Cc2ccccc2)CC1,0.2784
118,99.415,CCCN1C(=O)CCc2cc(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc21,0.2758
119,99.410,COc1ccc(C2(C(=O)NCCc3nnc(C)s3)CCCC2)cc1OC,0.2756
120,99.405,COc1ccc(N2C(=O)C3C4CC5C6(C)CCCC(C)(C(=O)O)C6CCC5(C=C4C(C)C)C3C2=O)cc1,0.2754
121,99.400,CSc1nc(C2CC2)cc(N2CCN(Cc3c4c(nn3C)CCC4)CC2)n1,0.2754
122,99.395,Cc1nc(N2CCCC2)nc(N2CCC(c3ccn(C)c(=O)c3)CC2)c1C,0.2753
123,99.390,COc1ccc(NC(=O)[C@@H]2c3cc(OC)c(OC)cc3C(=O)N3CCCC[C@@H]23)cc1Cl,0.2750
124,99.385,COc1ccc(N(CC(O)Cn2c(C)nc3ccccc32)S(=O)(=O)c2ccc(C)cc2)cc1,0.2750
125,99.380,Cc1nc2cc(C(=O)N(C)C)ccc2n1C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1,0.2747
126,99.375,COC(=O)c1ccc(C(=O)OC)c(NC(=O)c2cnn3c(C(F)(F)F)cc(-c4ccc(OC)c(OC)c4)nc23)c1,0.2737
127,99.370,COc1ccc(S(=O)(=O)N2CCCC2c2ccccc2C)cc1,0.2733
128,99.365,CCC(=O)OC1=C(C)C2C3C(=O)N(c4ccc(F)cc4)C(=O)C3C1(C)C1C(=O)N(c3ccc(F)cc3)C(=O)C21,0.2732
129,99.360,CCCN1CC2(CCN(C)CC2)C[C@H]1C(=O)N(Cc1ccc(O)cc1)C1CC1,0.2717
130,99.355,C[C@H]1CC[C@@H](CNC(=O)CCc2nc3c(cnn3-c3ccccc3)c(=O)[nH]2)N1C,0.2709
131,99.350,CCN1CCN(c2nc(C)c3c(n2)CC(c2ccc(OC)cc2OC)CC3=O)CC1,0.2705
132,99.345,Cc1ccc(S(=O)(=O)N(C)c2cc(S(=O)(=O)NC(C)(C)C)c(C)cc2C)cc1,0.2697
133,99.340,COc1cc(CNCCc2nc(C)c(C)s2)ccc1OC[C@@H](O)CN(C)C(C)C,0.2694
134,99.335,Cl.O=S(=O)(NC(CN1CCOCC1)c1ccccc1)c1ccccc1C(F)(F)F,0.2692
135,99.330,Cc1nc(Nc2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc2)cc(N(C)C)n1,0.2688
136,99.325,COc1ccc(-c2c(C(F)(F)F)oc3c(CN4CCC(C)CC4)c(O)ccc3c2=O)cc1OC,0.2688
137,99.320,COc1cc(NC(=O)Cc2csc3nc(-c4ccccc4)cn23)cc(OC)c1OC,0.2687
138,99.315,CCOc1ccccc1NC(=O)Nc1ccccc1OCc1cc(=O)n2ccc(C)cc2n1,0.2683
139,99.310,Cc1cc(O)ccc1C(=O)N1CCC2(CC1)CC(=O)NC(=O)C2,0.2680
140,99.305,Cc1cccc(NC(=O)c2cc(NC(=O)c3ccc([N+](=O)[O-])cc3)ccc2N2CCCCC2)c1,0.2676
141,99.300,CCOC(=O)c1c(NC(=O)c2ccccc2OC)sc2c1CCC(CC)C2,0.2666
