cid,smiles,molecular_weight
1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,275.09
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.3
1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,269.77
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,324.4
1990,CC(=O)NO,75.07
1999,CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C,248.28
2000,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,207.23
2005,CC(=O)NCCCCCC(=O)O,173.21
2006,C1=CC(=CC(=C1)NC(=O)C(=O)O)C2=NNN=N2,233.18
2018,CC(=O)NC1=CC=C(C=C1)CC(=O)O,193.20
2040,CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF,283.30
2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,315.75
2052,C1=CC(=C(C=C1C=C(C#N)C#N)O)O,186.17
2061,C1=C(C=C(C(=C1O)O)O)C=C(C#N)C#N,202.17
2075,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N,200.58
2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,269.77
2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,255.74
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.33
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31
2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.8
2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.35
2120,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC(=O)O,255.22
2122,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,383.9
2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,210.28
2126,CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C,351.4
2130,C1C2CC3CC1CC(C2)(C3)N,151.25
2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,613.91
2141,C(CN)CNCCSP(=O)(O)O,214.23
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.28
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N,194.19
2149,C(C(CN)O)C(=O)O,119.12
2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,203.24
2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.16
2155,C1=CSC(=N1)N,100.14
2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.5
2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,298.29
2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,226.27
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.8
2176,CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,447.5
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,293.4
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2,240.4
2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,219.24
2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,252.26
2201,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C(=O)O,222.24
2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,226.23
2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,188.23
2225,CC1=C(C(C(=C(N1)C)C(=O)OCC(=O)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.4
2230,CN1CCC=C(C1)C(=O)OC,155.19
2244,CC(=O)OC1=CC=CC=C1C(=O)O,180.16
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34
2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,215.68
2264,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4,349.8
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.27
2266,C(CCCC(=O)O)CCCC(=O)O,188.22
2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,317.3
2272,C1=CC=C(C=C1)N=NC2=CC=CC=C2,182.22
2273,C1=CSC(=C1)CNC2=CC(=C(C=C2C3=NNN=N3)S(=O)(=O)N)Cl,370.8
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.66
2286,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,340.4
2292,CCCCNCC(C1=CC=C(C=C1)O)O,209.28
2294,CCC1(C(=O)NC(=O)NC1=O)CC,184.19
2310,CCC1(CC(=O)NC(=O)C1)C,155.19
2312,CN(C)CCCOC1(CCCCCC1)CC2=CC=CC=C2,289.5
2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,223.22
2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,421.4
2319,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],335.28
2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,240.28
2331,C1=CC=C(C=C1)C(=O)N,121.14
2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,424.1
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,252.3
2337,CCOC(=O)C1=CC=C(C=C1)N,165.19
2342,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC,404.5
2343,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,431.9
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,212.24
2346,C1=CC=C(C=C1)CN=C=S,149.21
2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,312.4
2348,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,387.9
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,366.5
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19
2361,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,272.3
2365,C1COC1=O,72.06
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,307.4
2374,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,222.32
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.4
2377,CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2,269.4
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,310.4
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,361.4
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,356.0
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,292.13
2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,334.2
2446,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,344.25
2447,CC(C)C(C(=O)NC(=O)N)Br,223.07
2448,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,420.3
2449,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,354.4
2450,C(C(CO)([N+](=O)[O-])Br)O,199.99
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,393.7
2453,C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1,302.95
2461,CCCCC1C(=O)NC(=O)N(C1=O)C2CCCCC2,266.34
2465,CC(C)(C)NCC(COC1=CC=CC=C1OCC2CCCO2)O,323.4
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,223.27
2468,CCCCN=C(N)N=C(N)N,157.22
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,364.4
2475,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O,271.78
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,385.5
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,246.3
2480,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N,306.4
2482,CCCCOC(=O)C1=CC=C(C=C1)N,193.24
2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,317.5
2486,CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,315.40
2513,C[As](=O)(C)O,138.00
2515,CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,283.33
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.19
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.6
2537,CC1(C2CCC1(C(=O)C2)C)C,152.23
2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,610.7
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,440.5
2543,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,310.4
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.27
2557,CN1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O,236.23
2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,333.5
2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,221.25
2569,CC1=C(C(=O)C(=C(C1=O)N2CC2)C(COC(=O)N)OC)N3CC3,321.33
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,260.33
2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,257.26
2578,C(CCl)NC(=O)N(CCCl)N=O,214.05
2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,273.71
2603,C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,204.61
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,381.4
2682,CCCCCCCCCCCCCCCCO,242.44
2707,C(C(Cl)(Cl)Cl)(O)O,165.40
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,304.2
2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,299.75
2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,273.74
2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,295.7
2722,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,214.04
2723,CC1=CC(=CC(=C1Cl)C)O,156.61
2724,C1=CC(=CC=C1OCC(COC(=O)N)O)Cl,245.66
2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.9
2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,276.74
2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,213.66
2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,350.6
2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,338.8
2733,C1=CC2=C(C=C1Cl)NC(=O)O2,169.56
2741,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,190.15
2750,CC1(CCCCC1)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,333.4
2753,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,342.4
2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,369.5
2755,CC(C)NCC(C1=CC(=C(C=C1)N)C#N)O,219.28
2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,252.34
2758,CC1(C2CCC(O1)(CC2)C)C,154.25
2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,262.22
2763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,289.15
2765,C1CC1C2=CC=CC=C2OCC3=NCCN3,216.28
2767,[NH2-].[NH2-].Cl[Pt+2]Cl,298.03
2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.9
2775,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,206.19
2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.19
2787,CCC(C)(C(=O)O)OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)OC(C)(CC)C(=O)O,468.6
2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,305.50
2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.74
2793,C1CCN(CC1)C2(CCN(CC2)CCCN3C4=CC=CC=C4CCC5=C3C=C(C=C5)Cl)C(=O)N,481.1
2794,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,473.4
2795,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O,289.8
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.70
