cid,smiles,molecular_weight
4177,CC1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,363.2
4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,264.4
4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0
4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,268.74
4409,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,228.29
4420,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,380.78
4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,479.5
4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,327.12
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.3
4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,282.22
4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,317.22
4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,418.4
4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.4
4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,360.4
4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,302.4
4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.4
4615,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,426.6
4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,286.71
4622,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,249.27
4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,228.24
4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,324.4
4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,318.3
4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,303.8
4778,C1=CC=C(C=C1)[As]=O,168.02
4788,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,274.27
4793,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,367.8
4807,C1=CC=C(C(=C1)C=O)C=O,134.13
4890,C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,324.8
4927,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,284.4
4931,CC(C)N(C1=CC=CC=C1)C(=O)CCl,211.69
4932,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,341.4
4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,218.08
4936,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,350.5
4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.71
5053,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,338.4
5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,234.20
5074,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,477.6
5125,CCCCSP(=O)(SCCCC)SCCCC,314.5
5265,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,395.5
5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,264.32
5327,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,278.33
5333,C1=CC(=CC=C1N)S(=O)(=O)N,172.21
5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,255.3
5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,267.31
5392,COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC,466.5
5452,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,370.6
5472,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,263.8
5507,CC1=C(C=CC(=C1)NC2=CC=CC=C2C(=O)O)Cl,261.70
5510,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,307.4
5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,289.5
5590,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,250.38
5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,441.5
5743,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,392.5
5745,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,402.5
