target,input_id,r_epik_Population,r_epik_State_Penalty,r_epik_acidic_macro-pKa_1,r_epik_acidic_macro-pKa_2,"r_epik_macro-pKa_(-1,0)","r_epik_macro-pKa_(-2,-1)",r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
AR,BPA_CID6623__prepared_state_008::AR::pose_00113,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.735575865579358,-8.064240200279109,0.0018912202000829093,2.139914402626024,-52.28059139466803,-34.21460333129855,0.6537926348342753,0.0,-26.15036313101944,-8.737467085779441,-0.29874564412213483,-0.5138574038576094,-2.278917211619528,-1.321272082762505,-3.822816048989651,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00115,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.728796692591533,-6.102870701359984,0.0018912202000829093,3.0136771007532364,-55.201872141500054,-37.587612508386165,0.6537926348342753,0.0,-31.484741807026182,-8.730687912791616,-0.5301278297556269,-0.5134586289759726,-2.2771486763517643,-1.3202467202505355,-3.6121411814058657,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00126,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.671167349086527,-5.700248172575115,0.0018912202000829093,2.8530773260581412,-54.7766335340705,-37.20828816149938,0.6537926348342753,0.0,-31.50803998892427,-8.67305856928661,-0.5686262156798404,-0.5100686675933251,-2.262114463973691,-1.3115301749542918,-3.5752419221994733,-0.0,-2.752543840909091
AR,BPA_CID6623__prepared_state_008::AR::pose_00136,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.596117298782602,-7.135824862032399,0.0018912202000829093,1.8242025840380158,-53.45366775058816,-35.53525228194242,0.6537926348342753,0.0,-28.399427419910023,-8.598008518982684,-0.5381459062088209,-0.5056539587519178,-2.2425355771318465,-1.300178715382265,-3.4707663063986858,-0.0,-2.752543840909091
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00037,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-9.012249855903232,-8.64181980759107,0.0018912202000829093,1.2147805089812227,-53.65552950355077,-34.32157629979365,0.4576548443839927,0.0,-25.679756492202582,-9.014141076103314,-0.4711833736876786,-0.530132344464896,-2.3510952944681867,-1.3631195379350773,-3.8851606731106934,-0.0,-2.5351910779401448
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00104,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.558319445191158,-4.648876391225114,0.0018912202000829093,1.7210621949631006,-53.98859274409158,-35.911978359564074,0.6537926348342753,0.0,-31.263101968338958,-8.56021066539124,-0.40247142362698846,-0.5034305555994799,-2.232674958846654,-1.29446171978779,-3.91134056971583,-0.0,-2.6397047497819814
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00125,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.477196106386192,-4.458825854342895,0.0018912202000829093,0.8779548496210303,-54.094551915041635,-35.77584725296105,0.6537926348342753,0.0,-31.317021398618152,-8.479087326586274,-0.4245488797513955,-0.4986585944933054,-2.211511686280373,-1.2821916640441464,-3.9178485583579605,-0.0,-2.5558075752288523
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00130,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.45543584364628,-3.855735327343276,0.0018912202000829093,1.7139893867635703,-55.12691114617016,-37.27436243491296,0.6537926348342753,0.0,-33.418627107569684,-8.457327063846362,-0.32,-0.49737857903801647,-2.2058349183087564,-1.2789003838682038,-4.017156685815338,-0.0,-2.5246713583853224
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00144,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.413506169407153,-2.7512533889625517,0.0018912202000829093,1.9484851622054178,-55.71235694266902,-38.069814156535934,0.6537926348342753,0.0,-35.31856076757338,-8.415397389607236,-0.27532834488889263,-0.4949121276121855,-2.194896400027706,-1.272558442722712,-4.097814313342435,-0.0,-2.5174313194871303
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00146,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.409023888411742,-2.7327498393248173,0.0018912202000829093,2.1702501278123503,-55.573852059240195,-38.05210758749689,0.6537926348342753,0.0,-35.319357748172074,-8.410915108611825,-0.27272857383902654,-0.49464846402422014,-2.1937270727314933,-1.2718804893928497,-4.09850967107642,-0.0,-2.5175891352233273
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00154,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.369056937593273,-2.3546017468560505,0.0018912202000829093,1.8891663209435965,-55.27633176250992,-37.70246143124826,0.6537926348342753,0.0,-35.34785968439221,-8.370948157793356,-0.26658525973111163,-0.49229746691725135,-2.1833005852831904,-1.2658354138120103,-4.078079714843892,-0.0,-2.559492571804608
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00190,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.186518361707526,-6.950172642028159,0.0018912202000829093,1.7450998350110165,-51.074727818206384,-33.83264135815329,0.6537926348342753,0.0,-26.882468716125132,-8.188409581907608,-0.45599999999999996,-0.48155990362985446,-2.1356803357688263,-1.2382261150025988,-3.4440059499512445,-0.0,-2.5555469346801596
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00191,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.174035535830479,-7.39182483021861,0.0018912202000829093,1.5199035858825756,-51.24046989002524,-33.91340017365129,0.6537926348342753,0.0,-26.52157534343268,-8.175926756030561,-0.4014070690345992,-0.48082561975473403,-2.13242384447637,-1.2363380643921844,-3.450860261644713,-0.0,-2.5425995684810987
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00195,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.167138444266298,-7.575249961958651,0.0018912202000829093,1.5243295884955952,-51.305390997481084,-33.99579222774456,0.6537926348342753,0.0,-26.420542265785908,-8.16902966446638,-0.3945510591375938,-0.4804199084862528,-2.1306245468779528,-1.235294866476416,-3.4497781628982973,-0.0,-2.5211784696816726
ESR1,BPA_CID6623__prepared_state_008::ESR1::pose_00209,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.116071282572937,-6.196719096335836,0.0018912202000829093,0.7518445841980093,-50.83523923871614,-33.25237021811551,0.6537926348342753,0.0,-27.055651121779672,-8.11796250277302,-0.38227614884534683,-0.47741595779840806,-2.1173022616019335,-1.2275708633735158,-3.5154702661018415,-0.0,-2.5917183021207464
